CName:U1   CNum:101
CName:W2   CNum:118
 -7000.0      0.0
 -5453.9      0.0
 -5451.9     -8.5
 -4870.9     -9.0
 -4796.9     32.7
 -4551.9    172.4
 -2128.7    194.5
 -2044.1    137.8
 -1832.4    137.8
 -1790.1    154.2
 -1028.3    166.7
  -714.4    151.4
  -626.1      0.5
  -626.1     -9.5
  -350.0     -9.5
  -350.0      0.5
  -250.6    180.5
  1096.7    188.0
  1538.4   -206.0
  2145.7   -205.0
  2147.7      0.0
  7000.0      0.0
CName:W3   CNum:119
 -7000.0      0.0
 -2005.5      0.0
 -2003.5     -3.3
 -1635.5    162.1
 -1130.7    162.1
 -1019.1    149.5
  -344.3    149.8
  -267.6    158.7
    -9.3    158.7
    87.2    153.3
   206.3    161.5
  2324.9    166.3
  2995.1    115.4
  3214.4    -26.5
  3512.8    -27.2
  3704.1     -1.9
  3706.1      0.0
  7000.0      0.0
CName:W4   CNum:120
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:I1   CNum:121
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I2   CNum:122
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I3   CNum:123
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I4   CNum:124
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I5   CNum:125
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I6   CNum:126
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I7   CNum:127
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I8   CNum:128
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:I9   CNum:129
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:IA   CNum:130
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:IB   CNum:131
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:IC   CNum:132
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:ID   CNum:133
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:IE   CNum:134
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:IF   CNum:135
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:IG   CNum:136
 -7000.0      0.0
 -2022.0      0.0
 -2020.0     -0.0
     0.0     10.0
   200.0      2.0
  1500.0     -9.7
  2000.0      0.0
  2002.0      0.0
  7000.0      0.0
CName:V1   CNum:137
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:V2   CNum:138
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     65.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:V3   CNum:139
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:V4   CNum:140
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:K1   CNum:141
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K2   CNum:142
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K3   CNum:143
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K4   CNum:144
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K5   CNum:145
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K6   CNum:146
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K7   CNum:147
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K8   CNum:148
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:K9   CNum:149
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KA   CNum:150
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KB   CNum:151
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
